vacancy,relevant_count,precision@1,precision@3,precision@5,precision@8,precision@10,recall@1,recall@3,recall@5,recall@8,recall@10,f1@1,f1@3,f1@5,f1@8,f1@10,map,mrr,ndcg@1,ndcg@3,ndcg@5,ndcg@8,ndcg@10
QA_engineer_1,5,1.0,0.6666666666666666,0.8,0.625,0.5,0.2,0.4,0.8,1.0,1.0,0.33333333333333337,0.5,0.8000000000000002,0.7692307692307693,0.6666666666666666,0.7683333333333333,1.0,1.0,0.7039180890341347,0.7860137352654724,0.8930068676327362,0.8930068676327362
Frontend_1,5,0.0,0.3333333333333333,0.6,0.625,0.5,0.0,0.2,0.6,1.0,1.0,0.0,0.25,0.6,0.7692307692307693,0.6666666666666666,0.5961904761904762,0.5,0.0,0.2960819109658652,0.4912596920895758,0.725124396546942,0.725124396546942
AI_engineer_1,5,0.0,0.3333333333333333,0.6,0.375,0.3,0.0,0.2,0.6,0.6,0.6,0.0,0.25,0.6,0.4615384615384615,0.4,0.32,0.5,0.0,0.2960819109658652,0.4912596920895758,0.4912596920895758,0.4912596920895758
Data_engineer_1,5,1.0,0.6666666666666666,0.6,0.5,0.5,0.2,0.4,0.6,0.8,1.0,0.33333333333333337,0.5,0.6,0.6153846153846154,0.6666666666666666,0.7087301587301587,1.0,1.0,0.7039180890341347,0.6548086577531307,0.7678620595110026,0.8699594546339143
Backend_1,5,0.0,0.6666666666666666,0.8,0.625,0.5,0.0,0.4,0.8,1.0,1.0,0.0,0.5,0.8000000000000002,0.7692307692307693,0.6666666666666666,0.7100000000000001,0.5,0.0,0.5307212739772434,0.6608397947263839,0.7816510974258781,0.7816510974258781
