vacancy,relevant_count,latency_seconds,precision@1,precision@3,precision@5,precision@8,precision@10,recall@1,recall@3,recall@5,recall@8,recall@10,f1@1,f1@3,f1@5,f1@8,f1@10,map,mrr,ndcg@1,ndcg@3,ndcg@5,ndcg@8,ndcg@10
QA_engineer_1,5,1.1411101818084717,1.0,1.0,1.0,0.625,0.5,0.2,0.6,1.0,1.0,1.0,0.33333333333333337,0.7499999999999999,1.0,0.7692307692307693,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frontend_1,5,0.6852490901947021,1.0,1.0,1.0,0.625,0.5,0.2,0.6,1.0,1.0,1.0,0.33333333333333337,0.7499999999999999,1.0,0.7692307692307693,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AI_engineer_1,5,0.6221797466278076,0.0,0.6666666666666666,0.4,0.5,0.5,0.0,0.4,0.4,0.8,1.0,0.0,0.5,0.4000000000000001,0.6153846153846154,0.6666666666666666,0.5333333333333333,0.5,0.0,0.5307212739772434,0.38356636737133565,0.6113708024380936,0.7094100882694506
Data_engineer_1,5,0.5802979469299316,1.0,1.0,1.0,0.625,0.5,0.2,0.6,1.0,1.0,1.0,0.33333333333333337,0.7499999999999999,1.0,0.7692307692307693,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Backend_1,5,0.5583629608154297,1.0,1.0,1.0,0.625,0.5,0.2,0.6,1.0,1.0,1.0,0.33333333333333337,0.7499999999999999,1.0,0.7692307692307693,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
