vacancy,relevant_count,precision@1,precision@3,precision@5,precision@8,precision@10,recall@1,recall@3,recall@5,recall@8,recall@10,f1@1,f1@3,f1@5,f1@8,f1@10,map,mrr,ndcg@1,ndcg@3,ndcg@5,ndcg@8,ndcg@10
QA_engineer_1,5,1.0,0.3333333333333333,0.2,0.125,0.1,0.2,0.2,0.2,0.2,0.2,0.33333333333333337,0.25,0.20000000000000004,0.15384615384615385,0.13333333333333333,0.34968608813002405,1.0,1.0,0.46927872602275644,0.3391602052736161,0.3391602052736161,0.3391602052736161
Frontend_1,5,0.0,0.3333333333333333,0.2,0.375,0.4,0.0,0.2,0.2,0.6,0.8,0.0,0.25,0.20000000000000004,0.4615384615384615,0.5333333333333333,0.347156862745098,0.3333333333333333,0.0,0.23463936301137822,0.16958010263680806,0.39738453770356597,0.49542382353492304
AI_engineer_1,5,0.0,0.0,0.2,0.125,0.1,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.20000000000000004,0.15384615384615385,0.13333333333333333,0.19688311688311688,0.25,0.0,0.0,0.14606834984270645,0.14606834984270645,0.14606834984270645
Data_engineer_1,5,0.0,0.3333333333333333,0.2,0.25,0.3,0.0,0.2,0.2,0.4,0.6,0.0,0.25,0.20000000000000004,0.3076923076923077,0.4,0.30714285714285716,0.5,0.0,0.2960819109658652,0.21398626473452756,0.32097939710179135,0.4190186829331484
Backend_1,5,0.0,0.0,0.4,0.375,0.3,0.0,0.0,0.4,0.6,0.6,0.0,0.0,0.4000000000000001,0.4615384615384615,0.4,0.33389610389610386,0.25,0.0,0.0,0.27727342735504823,0.39032682911292027,0.39032682911292027
