vacancy,relevant_count,precision@1,precision@3,precision@5,precision@8,precision@10,recall@1,recall@3,recall@5,recall@8,recall@10,f1@1,f1@3,f1@5,f1@8,f1@10,map,mrr,ndcg@1,ndcg@3,ndcg@5,ndcg@8,ndcg@10
QA_engineer_1,5,0.0,0.6666666666666666,0.4,0.25,0.2,0.0,0.4,0.4,0.4,0.4,0.0,0.5,0.4000000000000001,0.3076923076923077,0.26666666666666666,0.2333333333333333,0.5,0.0,0.5307212739772434,0.38356636737133565,0.38356636737133565,0.38356636737133565
Frontend_1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AI_engineer_1,5,0.0,0.0,0.0,0.125,0.1,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.15384615384615385,0.13333333333333333,0.03333333333333333,0.16666666666666666,0.0,0.0,0.0,0.1208113026994942,0.1208113026994942
Data_engineer_1,5,0.0,0.3333333333333333,0.2,0.25,0.2,0.0,0.2,0.2,0.4,0.4,0.0,0.25,0.20000000000000004,0.3076923076923077,0.26666666666666666,0.16666666666666666,0.5,0.0,0.2960819109658652,0.21398626473452756,0.3347975674340217,0.3347975674340217
Backend_1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
