vacancy,relevant_count,latency_seconds,precision@1,precision@3,precision@5,precision@8,precision@10,recall@1,recall@3,recall@5,recall@8,recall@10,f1@1,f1@3,f1@5,f1@8,f1@10,map,mrr,ndcg@1,ndcg@3,ndcg@5,ndcg@8,ndcg@10
QA_engineer_1,5,0.9873671531677246,1.0,1.0,1.0,0.625,0.5,0.2,0.6,1.0,1.0,1.0,0.33333333333333337,0.7499999999999999,1.0,0.7692307692307693,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frontend_1,5,0.5725710391998291,1.0,1.0,1.0,0.625,0.5,0.2,0.6,1.0,1.0,1.0,0.33333333333333337,0.7499999999999999,1.0,0.7692307692307693,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AI_engineer_1,5,0.6096169948577881,1.0,0.6666666666666666,0.6,0.625,0.5,0.2,0.4,0.6,1.0,1.0,0.33333333333333337,0.5,0.6,0.7692307692307693,0.6666666666666666,0.9416666666666667,1.0,1.0,0.7653606369886217,0.6992148198508501,0.9270192549176082,1.0291166500405198
Data_engineer_1,5,0.5900559425354004,1.0,1.0,1.0,0.625,0.5,0.2,0.6,1.0,1.0,1.0,0.33333333333333337,0.7499999999999999,1.0,0.7692307692307693,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Backend_1,5,0.4947969913482666,1.0,1.0,1.0,0.625,0.5,0.2,0.6,1.0,1.0,1.0,0.33333333333333337,0.7499999999999999,1.0,0.7692307692307693,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
