vacancy,relevant_count,precision@1,precision@3,precision@5,precision@8,precision@10,recall@1,recall@3,recall@5,recall@8,recall@10,f1@1,f1@3,f1@5,f1@8,f1@10,map,mrr,ndcg@1,ndcg@3,ndcg@5,ndcg@8,ndcg@10
QA_engineer_1,5,0.0,0.0,0.0,0.125,0.1,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.15384615384615385,0.13333333333333333,0.22089997721576665,0.14285714285714285,0.0,0.0,0.0,0.11305340175787204,0.11305340175787204
Frontend_1,5,0.0,0.0,0.2,0.375,0.4,0.0,0.0,0.2,0.6,0.8,0.0,0.0,0.20000000000000004,0.4615384615384615,0.5333333333333333,0.35500000000000004,0.25,0.0,0.0,0.14606834984270645,0.37387278490946446,0.4719120707408215
AI_engineer_1,5,0.0,0.0,0.0,0.125,0.1,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.15384615384615385,0.13333333333333333,0.15058474773308533,0.125,0.0,0.0,0.0,0.10699313236726378,0.10699313236726378
Data_engineer_1,5,0.0,0.3333333333333333,0.4,0.25,0.2,0.0,0.2,0.4,0.4,0.4,0.0,0.25,0.4000000000000001,0.3076923076923077,0.26666666666666666,0.2782456140350877,0.3333333333333333,0.0,0.23463936301137822,0.3156484524795145,0.3156484524795145,0.3156484524795145
Backend_1,5,1.0,1.0,0.6,0.375,0.3,0.2,0.6,0.6,0.6,0.6,0.33333333333333337,0.7499999999999999,0.6,0.4615384615384615,0.4,0.7159663865546217,1.0,1.0,1.0,0.7227265726449519,0.7227265726449519,0.7227265726449519
