vacancy,relevant_count,precision@1,precision@3,precision@5,precision@8,precision@10,recall@1,recall@3,recall@5,recall@8,recall@10,f1@1,f1@3,f1@5,f1@8,f1@10,map,mrr,ndcg@1,ndcg@3,ndcg@5,ndcg@8,ndcg@10
QA_engineer_1,5,0.0,0.3333333333333333,0.6,0.625,0.5,0.0,0.2,0.6,1.0,1.0,0.0,0.25,0.6,0.7692307692307693,0.6666666666666666,0.5961904761904762,0.5,0.0,0.2960819109658652,0.4912596920895758,0.725124396546942,0.725124396546942
Frontend_1,5,0.0,0.3333333333333333,0.6,0.625,0.5,0.0,0.2,0.6,1.0,1.0,0.0,0.25,0.6,0.7692307692307693,0.6666666666666666,0.5961904761904762,0.5,0.0,0.2960819109658652,0.4912596920895758,0.725124396546942,0.725124396546942
AI_engineer_1,5,1.0,0.6666666666666666,0.6,0.5,0.4,0.2,0.4,0.6,0.8,0.8,0.33333333333333337,0.5,0.6,0.6153846153846154,0.5333333333333333,0.5533333333333333,1.0,1.0,0.7039180890341347,0.639945385422766,0.7469385177900298,0.7469385177900298
Data_engineer_1,5,1.0,0.6666666666666666,0.8,0.625,0.5,0.2,0.4,0.8,1.0,1.0,0.33333333333333337,0.5,0.8000000000000002,0.7692307692307693,0.6666666666666666,0.835,1.0,1.0,0.7653606369886217,0.830419897363192,0.9374130297304558,0.9374130297304558
Backend_1,5,1.0,0.6666666666666666,0.6,0.5,0.5,0.2,0.4,0.6,0.8,1.0,0.33333333333333337,0.5,0.6,0.6153846153846154,0.6666666666666666,0.7342857142857143,1.0,1.0,0.7653606369886217,0.6843515475204855,0.7974049492783576,0.8954442351097147
