vacancy,relevant_count,precision@1,precision@3,precision@5,precision@8,precision@10,recall@1,recall@3,recall@5,recall@8,recall@10,f1@1,f1@3,f1@5,f1@8,f1@10,map,mrr,ndcg@1,ndcg@3,ndcg@5,ndcg@8,ndcg@10
QA_engineer_1,5,0.0,0.0,0.0,0.125,0.2,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.15384615384615385,0.26666666666666666,0.07777777777777777,0.16666666666666666,0.0,0.0,0.0,0.1208113026994942,0.22290869782240583
Frontend_1,5,0.0,0.0,0.0,0.25,0.2,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.3076923076923077,0.26666666666666666,0.09047619047619046,0.16666666666666666,0.0,0.0,0.0,0.23386470445736623,0.23386470445736623
AI_engineer_1,5,0.0,0.3333333333333333,0.2,0.25,0.2,0.0,0.2,0.2,0.4,0.4,0.0,0.25,0.20000000000000004,0.3076923076923077,0.26666666666666666,0.12380952380952381,0.3333333333333333,0.0,0.23463936301137822,0.16958010263680806,0.2826335043946801,0.2826335043946801
Data_engineer_1,5,1.0,0.3333333333333333,0.4,0.25,0.3,0.2,0.2,0.4,0.4,0.6,0.33333333333333337,0.25,0.4000000000000001,0.3076923076923077,0.4,0.36666666666666664,1.0,1.0,0.46927872602275644,0.48522855511632257,0.48522855511632257,0.5873259502392343
Backend_1,5,1.0,0.3333333333333333,0.2,0.125,0.1,0.2,0.2,0.2,0.2,0.2,0.33333333333333337,0.25,0.20000000000000004,0.15384615384615385,0.13333333333333333,0.2,1.0,1.0,0.46927872602275644,0.3391602052736161,0.3391602052736161,0.3391602052736161
