vacancy,relevant_count,latency_seconds,precision@1,precision@3,precision@5,precision@8,precision@10,recall@1,recall@3,recall@5,recall@8,recall@10,f1@1,f1@3,f1@5,f1@8,f1@10,map,mrr,ndcg@1,ndcg@3,ndcg@5,ndcg@8,ndcg@10
QA_engineer_1,5,0.9711170196533203,1.0,1.0,1.0,0.625,0.5,0.2,0.6,1.0,1.0,1.0,0.33333333333333337,0.7499999999999999,1.0,0.7692307692307693,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frontend_1,5,0.49157094955444336,1.0,1.0,1.0,0.625,0.5,0.2,0.6,1.0,1.0,1.0,0.33333333333333337,0.7499999999999999,1.0,0.7692307692307693,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AI_engineer_1,5,0.6190500259399414,1.0,0.6666666666666666,0.6,0.5,0.4,0.2,0.4,0.6,0.8,0.8,0.33333333333333337,0.5,0.6,0.6153846153846154,0.5333333333333333,0.5676190476190476,1.0,1.0,0.7039180890341347,0.639945385422766,0.7529987871806381,0.7529987871806381
Data_engineer_1,5,0.600456953048706,1.0,1.0,1.0,0.625,0.5,0.2,0.6,1.0,1.0,1.0,0.33333333333333337,0.7499999999999999,1.0,0.7692307692307693,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Backend_1,5,0.5685479640960693,1.0,1.0,1.0,0.625,0.5,0.2,0.6,1.0,1.0,1.0,0.33333333333333337,0.7499999999999999,1.0,0.7692307692307693,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
